abbhakṣa+Sing+Nom	abbhakṣa

dyāvāpṛthivī+Sing+Loc	dyāvāpṛthivīi

dyāvāpṛthivī+Sing+Nom	dyāvāpṛthivī

dyāvāpṛthivīyā+Sing+Acc	dyāvāpṛthivīyāam

dyūta+Sing+Acc	dyūtaam

dyūta+Sing+Loc	dyūtai

dyūta+Sing+Nom	dyūta

dāhuka+Sing+Nom	dāhuka

dākṣāyaṇayajña+Sing+Nom	dākṣāyaṇayajña

dālbhya+Sing+Acc	dālbhyaam

dālbhya+Sing+Nom	dālbhya

dālbhya+Sing+Voc	+?

dāman+Plur+Nom	dāmanaḥ

dāman+Sing+Acc	dāmanam

dāman+Sing+Gen	dāmanaḥ

dāman+Sing+Ins	dāmanā

dāman+Sing+Voc	+?

dāna+Plur+Ins	dānabhiḥ

dāna+Plur+Nom	dānaaḥ

dāna+Sing+Abl	dānaaḥ

dāna+Sing+Acc	dānaam

dāna+Sing+Dat	dānae

dāna+Sing+Ins	dānaā

dāna+Sing+Nom	dāna

dānava+Plur+Gen	dānavaām

dānava+Plur+Loc	dānavasu

dānava+Sing+Voc	+?

dānu+Dual+Voc	+?

dānu+Plur+Nom	dānuaḥ

dānu+Sing+Acc	dānuam

dānu+Sing+Ins	dānuā

dānu+Sing+Nom	dānu

dānu+Sing+Voc	+?

dāra+Plur+Acc	dāraaḥ

dāra+Sing+Ins	dāraā

dāra+Sing+Loc	dārai

dārakarman+Sing+Nom	dārakarman

dārbhya+Sing+Nom	dārbhya

dāru+Plur+Ins	dārubhiḥ

dāru+Plur+Nom	dāruaḥ

dāru+Sing+Acc	dāruam

dāru+Sing+Gen	dāruaḥ

dāru+Sing+Loc	dārui

dāru+Sing+Nom	dāru

dāruka+Sing+Acc	dārukaam

dārśa+Sing+Gen	dārśaaḥ

dāsa+Plur+Gen	dāsaām

dāsa+Sing+Gen	dāsaaḥ

dāsa+Sing+Nom	dāsa

dāsī+Plur+Acc	dāsīaḥ

dāsī+Plur+Nom	dāsīaḥ

dāsī+Sing+Gen	dāsīaḥ

dāsī+Sing+Nom	dāsī

dāti+Sing+Acc	dātiam

dāti+Sing+Dat	dātie

dātra+Plur+Gen	dātraām

dātra+Plur+Nom	dātraaḥ

dāva+Sing+Loc	dāvai

dāya+Sing+Acc	dāyaam

dāya+Sing+Nom	dāya

dāyāda+Sing+Nom	dāyāda

dāśarma+Sing+Nom	dāśarma

dāśarājña+Sing+Loc	dāśarājñai

dīdhiti+Plur+Ins	dīdhitibhiḥ

dīdhiti+Sing+Acc	dīdhitiam

dīdivi+Sing+Nom	dīdivi

dīkṣayitṛ+Dual+Nom	dīkṣayitṛau

dīkṣā+Plur+Acc	dīkṣāaḥ

dīkṣā+Plur+Nom	dīkṣāaḥ

dīkṣā+Sing+Abl	dīkṣāaḥ

dīkṣā+Sing+Acc	dīkṣāam

dīkṣā+Sing+Dat	dīkṣāe

dīkṣā+Sing+Gen	dīkṣāaḥ

dīkṣā+Sing+Ins	dīkṣāā

dīkṣā+Sing+Nom	dīkṣā

dīpikā+Sing+Nom	dīpikā

dīrgha+Plur+Gen	dīrghaām

dīrghajihvī+Sing+Nom	dīrghajihvī

dīrghanītha+Sing+Loc	dīrghanīthai

dīrghasattra+Sing+Acc	dīrghasattraam

dīrghatamas+Sing+Gen	dīrghatamasaḥ

dīv+Sing+Dat	dīve

dūra+Sing+Abl	dūraaḥ

dūra+Sing+Acc	dūraam

dūra+Sing+Loc	dūrai

dūraka+Sing+Loc	dūrakai

dūrohaṇa+Sing+Acc	dūrohaṇaam

dūrvā+Plur+Nom	dūrvāaḥ

dūrvā+Sing+Acc	dūrvāam

dūrśa+Plur+Ins	dūrśabhiḥ

dūrśa+Sing+Loc	dūrśai

dūta+Dual+Nom	dūtaau

dūta+Plur+Acc	dūtaaḥ

dūta+Sing+Acc	dūtaam

dūta+Sing+Dat	dūtae

dūta+Sing+Gen	dūtaaḥ

dūta+Sing+Ins	dūtaā

dūta+Sing+Nom	dūta

dūtya+Sing+Acc	dūtyaam

dūṣaṇa+Sing+Nom	dūṣaṇa

dūṣi+Sing+Ins	dūṣiā

dūṣīviṣa+Sing+Nom	dūṣīviṣa

dṛbhīka+Sing+Acc	dṛbhīkaam

dṛbā+Sing+Nom	dṛbā

dṛptabālāki+Sing+Nom	dṛptabālāki

dṛti+Sing+Abl	dṛtiaḥ

dṛti+Sing+Acc	dṛtiam

dṛti+Sing+Gen	dṛtiaḥ

dṛti+Sing+Nom	dṛti

dṛś+Plur+Dat	dṛśbhyaḥ

dṛś+Plur+Ins	dṛśbhiḥ

dṛś+Plur+Nom	dṛśaḥ

dṛś+Sing+Acc	dṛśam

dṛś+Sing+Gen	dṛśaḥ

dṛśati+Sing+Nom	dṛśati

dṛśīka+Sing+Loc	dṛśīkai

dṛṃhaṇa+Sing+Dat	dṛṃhaṇae

dṛṣad+Sing+Acc	dṛṣadam

dṛṣad+Sing+Ins	dṛṣadā

dṛṣad+Sing+Loc	dṛṣadi

dṛṣatputra+Sing+Acc	dṛṣatputraam

dṛṣṭi+Sing+Nom	dṛṣṭi

dṛṣṭānta+Sing+Abl	dṛṣṭāntaaḥ

edha+Plur+Acc	edhaaḥ

edha+Sing+Nom	edha

edhas+Sing+Dat	edhase

edhas+Sing+Nom	edhas

ekadhanā+Plur+Loc	ekadhanāsu

ekadhanā+Plur+Nom	ekadhanāaḥ

ekanakṣatra+Sing+Loc	ekanakṣatrai

ekapad+Sing+Dat	ekapade

ekapād+Sing+Nom	ekapād

ekasphyā+Sing+Acc	ekasphyāam

ekasphyā+Sing+Ins	ekasphyāā

ekata+Sing+Dat	ekatae

ekaśapha+Sing+Nom	ekaśapha

ekaśata+Sing+Acc	ekaśataam

ekādaśinī+Dual+Nom	ekādaśinīau

ekādaśinī+Sing+Abl	ekādaśinīaḥ

ekādaśinī+Sing+Dat	ekādaśinīe

ekādaśinī+Sing+Nom	ekādaśinī

ekāha+Plur+Gen	ekāhaām

ekāha+Plur+Nom	ekāhaaḥ

ekāha+Sing+Nom	ekāha

ekāyana+Plur+Nom	ekāyanaaḥ

ekāyana+Sing+Acc	ekāyanaam

ekāyana+Sing+Nom	ekāyana

ekāṣṭakā+Sing+Loc	ekāṣṭakāi

ekāṣṭakā+Sing+Nom	ekāṣṭakā

eman+Sing+Nom	eman

enas+Plur+Gen	enasām

enas+Plur+Loc	enassu

enas+Sing+Abl	enasaḥ

enas+Sing+Acc	enasam

enas+Sing+Gen	enasaḥ

enas+Sing+Nom	enas

enasa+Plur+Nom	enasaaḥ

enasa+Sing+Abl	enasaaḥ

enī+Plur+Nom	enīaḥ

erakā+Sing+Acc	erakāam

erakā+Sing+Loc	erakāi

eta+Plur+Nom	etaaḥ

etarī+Sing+Nom	etarī

etaśa+Plur+Ins	etaśabhiḥ

etaśa+Sing+Acc	etaśaam

etaśa+Sing+Nom	etaśa

eva+Plur+Ins	evabhiḥ

eṇa+Sing+Acc	eṇaam

eṇī+Sing+Nom	eṇī

eṣa+Sing+Gen	eṣaaḥ

eṣaṇā+Dual+Nom	eṣaṇāau

eṣaṇā+Sing+Abl	eṣaṇāaḥ

eṣaṇā+Sing+Nom	eṣaṇā

gabhasti+Dual+Loc	gabhastioḥ

gabhasti+Dual+Nom	gabhastiau

gada+Sing+Acc	gadaam

gadā+Sing+Acc	gadāam

gadā+Sing+Nom	gadā

gagana+Sing+Nom	gagana

gahana+Sing+Loc	gahanai

gahvara+Plur+Loc	gahvarasu

gaja+Plur+Nom	gajaaḥ

gala+Sing+Loc	galai

galda+Sing+Ins	galdaā

galūnasa+Sing+Acc	galūnasaam

gam+Sing+Abl	gamaḥ

gamana+Plur+Nom	gamanaaḥ

gamana+Sing+Dat	gamanae

gamana+Sing+Loc	gamanai

gamana+Sing+Nom	gamana

gambhīra+Sing+Loc	gambhīrai

gandha+Plur+Acc	gandhaaḥ

gandha+Plur+Ins	gandhabhiḥ

gandha+Sing+Acc	gandhaam

gandha+Sing+Dat	gandhae

gandha+Sing+Ins	gandhaā

gandha+Sing+Nom	gandha

gandha+Sing+Voc	+?

gandharva+Plur+Acc	gandharvaaḥ

gandharva+Plur+Gen	gandharvaām

gandharva+Plur+Ins	gandharvabhiḥ

gandharva+Plur+Loc	gandharvasu

gandharva+Plur+Nom	gandharvaaḥ

gandharva+Plur+Voc	+?

gandharva+Sing+Acc	gandharvaam

gandharva+Sing+Dat	gandharvae

gandharva+Sing+Gen	gandharvaaḥ

gandharva+Sing+Nom	gandharva

gandharvī+Sing+Nom	gandharvī

gara+Sing+Ins	garaā

garbha+Plur+Acc	garbhaaḥ

garbha+Plur+Gen	garbhaām

garbha+Plur+Nom	garbhaaḥ

garbha+Sing+Abl	garbhaaḥ

garbha+Sing+Acc	garbhaam

garbha+Sing+Gen	garbhaaḥ

garbha+Sing+Ins	garbhaā

garbha+Sing+Loc	garbhai

garbha+Sing+Nom	garbha

garbhakāra+Sing+Acc	garbhakāraam

garbhalambhana+Sing+Nom	garbhalambhana

gardabha+Sing+Acc	gardabhaam

gardabha+Sing+Gen	gardabhaaḥ

gardabha+Sing+Nom	gardabha

gardabhī+Sing+Nom	gardabhī

gardabhīvipīta+Sing+Nom	gardabhīvipīta

gargara+Plur+Nom	gargaraaḥ

garhā+Sing+Acc	garhāam

garta+Plur+Acc	gartaaḥ

garta+Plur+Loc	gartasu

garta+Sing+Acc	gartaam

garta+Sing+Loc	gartai

garutmant+Sing+Nom	garutman

garuḍa+Sing+Gen	garuḍaaḥ

garuḍadhvaja+Sing+Nom	garuḍadhvaja

gata+Sing+Acc	gataam

gata+Sing+Nom	gata

gati+Sing+Nom	gati

gatādhvā+Sing+Nom	gatādhvā

gaupatya+Sing+Acc	gaupatyaam

gaura+Sing+Nom	gaura

gaurava+Sing+Nom	gaurava

gaurgulavi+Sing+Acc	gaurgulaviam

gauruṇḍi+Sing+Acc	gauruṇḍiam

gaurī+Sing+Acc	gaurīam

gautama+Sing+Gen	gautamaaḥ

gautama+Sing+Nom	gautama

gautama+Sing+Voc	+?

gavaya+Sing+Nom	gavaya

gavedhuka+Plur+Gen	gavedhukaām

gaviṣṭi+Plur+Loc	gaviṣṭiṣu

gaviṣṭi+Sing+Dat	gaviṣṭie

gavyūti+Plur+Acc	gavyūtiaḥ

gavyūti+Sing+Acc	gavyūtiam

gavyūti+Sing+Nom	gavyūti

gavāmayana+Sing+Acc	gavāmayanaam

gavāyus+Dual+Nom	gavāyuṣau

gavī+Plur+Gen	gavīām

gavīḍā+Sing+Acc	gavīḍāam

gaya+Plur+Acc	gayaaḥ

gaya+Plur+Nom	gayaaḥ

gaya+Sing+Acc	gayaam

gaya+Sing+Gen	gayaaḥ

gaya+Sing+Nom	gaya

gaṅgā+Sing+Acc	gaṅgāam

gaṅgā+Sing+Voc	+?

gaṇa+Plur+Acc	gaṇaaḥ

gaṇa+Plur+Gen	gaṇaām

gaṇa+Plur+Ins	gaṇabhiḥ

gaṇa+Plur+Loc	gaṇasu

gaṇa+Plur+Nom	gaṇaaḥ

gaṇa+Sing+Acc	gaṇaam

gaṇa+Sing+Gen	gaṇaaḥ

gaṇa+Sing+Nom	gaṇa

gaṇapati+Sing+Acc	gaṇapatiam

gaṇḍa+Sing+Acc	gaṇḍaam

geṣṇa+Dual+Nom	geṣṇaau

ghana+Sing+Acc	ghanaam

ghana+Sing+Ins	ghanaā

ghana+Sing+Loc	ghanai

gharma+Plur+Gen	gharmaām

gharma+Plur+Nom	gharmaaḥ

gharma+Sing+Acc	gharmaam

gharma+Sing+Gen	gharmaaḥ

gharma+Sing+Loc	gharmai

gharma+Sing+Nom	gharma

gharma+Sing+Voc	+?

ghaṭa+Sing+Abl	ghaṭaaḥ

ghora+Sing+Abl	ghoraaḥ

ghora+Sing+Acc	ghoraam

ghora+Sing+Dat	ghorae

ghoṣa+Plur+Acc	ghoṣaaḥ

ghoṣa+Plur+Nom	ghoṣaaḥ

ghoṣa+Sing+Acc	ghoṣaam

ghoṣa+Sing+Nom	ghoṣa

ghoṣā+Sing+Nom	ghoṣā

ghraṃs+Sing+Nom	ghraṃs

ghrāṇa+Sing+Ins	ghrāṇaā

ghuṇa+Sing+Nom	ghuṇa

ghāsa+Sing+Nom	ghāsa

ghṛta+Dual+Ins	ghṛtabhyām

ghṛta+Plur+Abl	ghṛtabhyaḥ

ghṛta+Plur+Ins	ghṛtabhiḥ

ghṛta+Sing+Abl	ghṛtaaḥ

ghṛta+Sing+Acc	ghṛtaam

ghṛta+Sing+Gen	ghṛtaaḥ

ghṛta+Sing+Ins	ghṛtaā

ghṛta+Sing+Loc	ghṛtai

ghṛta+Sing+Nom	ghṛta

ghṛtapadī+Sing+Nom	ghṛtapadī

ghṛtaprāśana+Sing+Nom	ghṛtaprāśana

ghṛteṣṭakā+Plur+Nom	ghṛteṣṭakāaḥ

ghṛtācī+Plur+Acc	ghṛtācīaḥ

ghṛtācī+Plur+Gen	ghṛtācīām

ghṛtācī+Plur+Nom	ghṛtācīaḥ

ghṛtācī+Sing+Nom	ghṛtācī

ghṛṇa+Sing+Ins	ghṛṇaā

ghṛṇi+Sing+Abl	ghṛṇiaḥ

ghṛṇi+Sing+Loc	ghṛṇii

ghṛṇā+Plur+Acc	ghṛṇāaḥ

gir+Plur+Acc	giraḥ

gir+Plur+Gen	girām

gir+Plur+Ins	girbhiḥ

gir+Plur+Nom	giraḥ

gir+Sing+Acc	giram

gir+Sing+Ins	girā

gir+Sing+Nom	gir

giri+Plur+Abl	giribhyaḥ

giri+Plur+Gen	giriām

giri+Plur+Loc	giriṣu

giri+Plur+Nom	giriaḥ

giri+Sing+Abl	giriaḥ

giri+Sing+Acc	giriam

giri+Sing+Gen	giriaḥ

giri+Sing+Loc	girii

giri+Sing+Nom	giri

girija+Sing+Dat	girijae

giritra+Sing+Voc	+?

glaha+Sing+Abl	glahaaḥ

glaha+Sing+Loc	glahai

glaha+Sing+Nom	glaha

glau+Sing+Acc	glauam

glau+Sing+Nom	glau

glāva+Sing+Acc	glāvaam

glāva+Sing+Nom	glāva

gnā+Plur+Nom	gnāaḥ

go+Dual+Acc	goau

go+Dual+Nom	goau

go+Plur+Abl	gobhyaḥ

go+Plur+Acc	goaḥ

go+Plur+Dat	gobhyaḥ

go+Plur+Gen	goām

go+Plur+Ins	gobhiḥ

go+Plur+Loc	goṣu

go+Plur+Nom	goaḥ

go+Plur+Voc	+?

go+Sing+Abl	goaḥ

go+Sing+Acc	goam

go+Sing+Dat	goe

go+Sing+Gen	goaḥ

go+Sing+Ins	goā

go+Sing+Loc	goi

go+Sing+Nom	go

gobala+Sing+Nom	gobala

godhā+Sing+Nom	godhā

godāna+Plur+Loc	godānasu

godāna+Sing+Acc	godānaam

godāna+Sing+Loc	godānai

godāna+Sing+Nom	godāna

goha+Sing+Acc	gohaam

golaka+Plur+Gen	golakaām

gomatī+Sing+Acc	gomatīam

gomaya+Sing+Acc	gomayaam

gomaya+Sing+Ins	gomayaā

gomaya+Sing+Loc	gomayai

gomaya+Sing+Nom	gomaya

gomithuna+Sing+Acc	gomithunaam

gomāyu+Sing+Acc	gomāyuam

gomṛga+Sing+Acc	gomṛgaam

gomṛga+Sing+Nom	gomṛga

gopa+Dual+Acc	gopaau

gopa+Dual+Nom	gopaau

gopa+Sing+Voc	+?

gopati+Sing+Acc	gopatiam

gopati+Sing+Loc	gopatii

gopura+Sing+Acc	gopuraam

gopā+Plur+Acc	gopāaḥ

gopā+Plur+Nom	gopāaḥ

gopā+Sing+Acc	gopāam

gopā+Sing+Nom	gopā

gopītha+Sing+Dat	gopīthae

gopītha+Sing+Loc	gopīthai

gosthāna+Sing+Acc	goṣthānaam

gotama+Plur+Ins	gotamabhiḥ

gotama+Sing+Gen	gotamaaḥ

gotama+Sing+Voc	+?

gotra+Sing+Acc	gotraam

gotra+Sing+Ins	gotraā

gotra+Sing+Nom	gotra

govinda+Sing+Acc	govindaam

govinda+Sing+Nom	govinda

govinda+Sing+Voc	+?

gośarya+Sing+Loc	gośaryai

gośru+Sing+Nom	gośru

goṣāti+Sing+Loc	goṣātii

goṣṭha+Sing+Abl	goṣṭhaaḥ

goṣṭha+Sing+Acc	goṣṭhaam

goṣṭha+Sing+Loc	goṣṭhai

graha+Plur+Acc	grahaaḥ

graha+Plur+Gen	grahaām

graha+Plur+Nom	grahaaḥ

graha+Sing+Abl	grahaaḥ

graha+Sing+Acc	grahaam

graha+Sing+Gen	grahaaḥ

graha+Sing+Ins	grahaā

graha+Sing+Nom	graha

grahaṇa+Dual+Nom	grahaṇaau

grahaṇa+Sing+Abl	grahaṇaaḥ

grahaṇa+Sing+Acc	grahaṇaam

grahaṇa+Sing+Ins	grahaṇaā

grahaṇa+Sing+Loc	grahaṇai

grahaṇa+Sing+Nom	grahaṇa

grahaṇī+Sing+Acc	grahaṇīam

grahaṇī+Sing+Loc	grahaṇīi

granthi+Plur+Abl	granthibhyaḥ

granthi+Sing+Acc	granthiam

granthi+Sing+Nom	granthi

grapsa+Sing+Acc	grapsaam

grapsa+Sing+Ins	grapsaā

grāhi+Sing+Abl	grāhiaḥ

grāhi+Sing+Acc	grāhiam

grāhi+Sing+Gen	grāhiaḥ

grāhi+Sing+Nom	grāhi

grāma+Dual+Acc	grāmaau

grāma+Dual+Gen	grāmaoḥ

grāma+Plur+Acc	grāmaaḥ

grāma+Plur+Nom	grāmaaḥ

grāma+Sing+Abl	grāmaaḥ

grāma+Sing+Acc	grāmaam

grāma+Sing+Dat	grāmae

grāma+Sing+Gen	grāmaaḥ

grāma+Sing+Ins	grāmaā

grāma+Sing+Loc	grāmai

grāma+Sing+Nom	grāma

grāmaṇi+Plur+Gen	grāmaṇiām

grāmaṇi+Plur+Nom	grāmaṇiaḥ

grāmaṇi+Sing+Gen	grāmaṇiaḥ

grāsa+Plur+Acc	grāsaaḥ

grāsa+Sing+Acc	grāsaam

grāvan+Dual+Nom	grāvanau

grāvan+Plur+Acc	grāvanaḥ

grāvan+Plur+Gen	grāvanām

grāvan+Plur+Ins	grāvanbhiḥ

grāvan+Plur+Nom	grāvanaḥ

grāvan+Plur+Voc	+?

grāvan+Sing+Acc	grāvanam

grāvan+Sing+Gen	grāvanaḥ

grāvan+Sing+Nom	grāvan

grāvastut+Sing+Gen	grāvastutaḥ

grīvā+Plur+Acc	grīvāaḥ

grīvā+Plur+Loc	grīvāsu

grīvā+Plur+Nom	grīvāaḥ

grīvā+Sing+Acc	grīvāam

grīvā+Sing+Loc	grīvāi

grīvā+Sing+Nom	grīvā

grīṣma+Sing+Acc	grīṣmaam

grīṣma+Sing+Dat	grīṣmae

grīṣma+Sing+Loc	grīṣmai

grīṣma+Sing+Nom	grīṣma

guda+Plur+Nom	gudaaḥ

guda+Sing+Acc	gudaam

guggulū+Sing+Nom	guggulū

guhya+Sing+Acc	guhyaam

guhā+Sing+Acc	guhāam

guhā+Sing+Loc	guhāi

gulgulu+Sing+Acc	gulguluam

gulgulu+Sing+Nom	gulgulu

gupti+Sing+Dat	guptie

guru+Plur+Acc	guruaḥ

guru+Plur+Dat	gurubhyaḥ

guru+Plur+Gen	guruām

guru+Plur+Loc	guruṣu

guru+Plur+Nom	guruaḥ

guru+Sing+Abl	guruaḥ

guru+Sing+Acc	guruam

guru+Sing+Dat	gurue

guru+Sing+Gen	guruaḥ

guru+Sing+Ins	guruā

guru+Sing+Loc	gurui

guru+Sing+Nom	guru

gurvikā+Sing+Nom	gurvikā

guñjā+Plur+Nom	guñjāaḥ

guḍākeśa+Sing+Nom	guḍākeśa

guṇa+Dual+Nom	guṇaau

guṇa+Plur+Acc	guṇaaḥ

guṇa+Plur+Ins	guṇabhiḥ

guṇa+Plur+Nom	guṇaaḥ

guṇa+Sing+Abl	guṇaaḥ

guṇa+Sing+Acc	guṇaam

guṇa+Sing+Dat	guṇae

guṇa+Sing+Ins	guṇaā

guṇa+Sing+Loc	guṇai

guṇa+Sing+Nom	guṇa

guṇavacana+Sing+Abl	guṇavacanaaḥ

gādha+Sing+Acc	gādhaam

gādha+Sing+Nom	gādha

gāna+Sing+Dat	gānae

gāna+Sing+Nom	gāna

gāndhāra+Sing+Dat	gāndhārae

gāndhārī+Sing+Acc	gāndhārīam

gārgya+Sing+Acc	gārgyaam

gārgya+Sing+Nom	gārgya

gārgī+Sing+Voc	+?

gārhapatya+Dual+Acc	gārhapatyaau

gārhapatya+Plur+Nom	gārhapatyaaḥ

gārhapatya+Sing+Abl	gārhapatyaaḥ

gārhapatya+Sing+Acc	gārhapatyaam

gārhapatya+Sing+Dat	gārhapatyae

gārhapatya+Sing+Gen	gārhapatyaaḥ

gārhapatya+Sing+Ins	gārhapatyaā

gārhapatya+Sing+Loc	gārhapatyai

gārhapatya+Sing+Nom	gārhapatya

gārhapatyeṣṭakā+Plur+Acc	gārhapatyeṣṭakāaḥ

gāthin+Plur+Gen	gāthinām

gāthina+Plur+Nom	gāthinaaḥ

gāthina+Plur+Voc	+?

gāthā+Plur+Acc	gāthāaḥ

gāthā+Plur+Gen	gāthāām

gāthā+Plur+Ins	gāthābhiḥ

gāthā+Plur+Nom	gāthāaḥ

gāthā+Sing+Acc	gāthāam

gāthā+Sing+Gen	gāthāaḥ

gāthā+Sing+Nom	gāthā

gātra+Plur+Acc	gātraaḥ

gātra+Plur+Gen	gātraām

gātra+Plur+Nom	gātraaḥ

gātra+Sing+Acc	gātraam

gātra+Sing+Dat	gātrae

gātu+Sing+Acc	gātuam

gātu+Sing+Loc	gātui

gātu+Sing+Nom	gātu

gātṛ+Sing+Nom	gātṛ

gāyana+Sing+Nom	gāyana

gāyatra+Plur+Acc	gāyatraaḥ

gāyatra+Sing+Acc	gāyatraam

gāyatra+Sing+Gen	gāyatraaḥ

gāyatra+Sing+Ins	gāyatraā

gāyatra+Sing+Nom	gāyatra

gāyatrī+Dual+Acc	gāyatrīau

gāyatrī+Dual+Nom	gāyatrīau

gāyatrī+Plur+Acc	gāyatrīaḥ

gāyatrī+Plur+Ins	gāyatrībhiḥ

gāyatrī+Plur+Nom	gāyatrīaḥ

gāyatrī+Sing+Abl	gāyatrīaḥ

gāyatrī+Sing+Acc	gāyatrīam

gāyatrī+Sing+Dat	gāyatrīe

gāyatrī+Sing+Gen	gāyatrīaḥ

gāyatrī+Sing+Ins	gāyatrīā

gāyatrī+Sing+Loc	gāyatrīi

gāyatrī+Sing+Nom	gāyatrī

gāṅgyāyani+Sing+Acc	gāṅgyāyaniam

gāṅgyāyani+Sing+Nom	gāṅgyāyani

gāṇapatya+Sing+Acc	gāṇapatyaam

gāṇḍīva+Sing+Acc	gāṇḍīvaam

gāṇḍīva+Sing+Nom	gāṇḍīva

gāṇḍīvadhanvan+Sing+Dat	gāṇḍīvadhanvane

gīta+Sing+Loc	gītai

gīta+Sing+Nom	gīta

gīthā+Sing+Nom	gīthā

gūrti+Plur+Ins	gūrtibhiḥ

gūrti+Plur+Nom	gūrtiaḥ

gṛbh+Sing+Abl	gṛbhaḥ

gṛdhra+Dual+Nom	gṛdhraau

gṛdhra+Plur+Nom	gṛdhraaḥ

gṛdhra+Sing+Nom	gṛdhra

gṛha+Plur+Abl	gṛhabhyaḥ

gṛha+Plur+Acc	gṛhaaḥ

gṛha+Plur+Gen	gṛhaām

gṛha+Plur+Loc	gṛhasu

gṛha+Plur+Nom	gṛhaaḥ

gṛha+Plur+Voc	+?

gṛha+Sing+Abl	gṛhaaḥ

gṛha+Sing+Acc	gṛhaam

gṛha+Sing+Dat	gṛhae

gṛha+Sing+Gen	gṛhaaḥ

gṛha+Sing+Loc	gṛhai

gṛha+Sing+Nom	gṛha

gṛhagolikā+Sing+Nom	gṛhagolikā

gṛhakarman+Sing+Gen	gṛhakarmanaḥ

gṛhamedha+Sing+Loc	gṛhamedhai

gṛhamedhin+Plur+Acc	gṛhamedhinaḥ

gṛhamedhin+Plur+Gen	gṛhamedhinām

gṛhamedhin+Sing+Nom	gṛhamedhin

gṛhapati+Plur+Nom	gṛhapatiaḥ

gṛhapati+Sing+Acc	gṛhapatiam

gṛhapati+Sing+Dat	gṛhapatie

gṛhapati+Sing+Gen	gṛhapatiaḥ

gṛhapati+Sing+Ins	gṛhapatiā

gṛhapati+Sing+Loc	gṛhapatii

gṛhapati+Sing+Nom	gṛhapati

gṛhapati+Sing+Voc	+?

gṛhastha+Plur+Acc	gṛhasthaaḥ

gṛhastha+Sing+Gen	gṛhasthaaḥ

gṛhastha+Sing+Nom	gṛhastha

gṛtsamada+Plur+Nom	gṛtsamadaaḥ

gṛṣṭi+Sing+Nom	gṛṣṭi

haimavatī+Sing+Acc	haimavatīam

hanana+Plur+Acc	hananaaḥ

hanman+Plur+Ins	hanmanbhiḥ

hanu+Dual+Acc	hanuau

hanu+Dual+Nom	hanuau

hanu+Sing+Nom	hanu

hara+Sing+Nom	hara

haras+Sing+Dat	harase

haras+Sing+Ins	harasā

haras+Sing+Nom	haras

haraṇa+Sing+Nom	haraṇa

hari+Dual+Acc	hariau

hari+Dual+Dat	haribhyām

hari+Dual+Ins	haribhyām

hari+Dual+Nom	hariau

hari+Plur+Gen	hariām

hari+Plur+Ins	haribhiḥ

hari+Plur+Nom	hariaḥ

hari+Sing+Acc	hariam

hari+Sing+Nom	hari

haridrā+Sing+Acc	haridrāam

hariman+Sing+Acc	harimanam

hariman+Sing+Nom	hariman

harit+Plur+Nom	haritaḥ

hariścandra+Sing+Nom	hariścandra

hariṇa+Sing+Gen	hariṇaaḥ

hariṇa+Sing+Nom	hariṇa

harmya+Sing+Acc	harmyaam

harmya+Sing+Nom	harmya

haryaśva+Sing+Voc	+?

harṣa+Sing+Nom	harṣa

hasa+Sing+Dat	hasae

hasa+Sing+Nom	hasa

hasta+Dual+Abl	hastabhyām

hasta+Dual+Acc	hastaau

hasta+Dual+Ins	hastabhyām

hasta+Dual+Loc	hastaoḥ

hasta+Plur+Acc	hastaaḥ

hasta+Plur+Ins	hastabhiḥ

hasta+Plur+Nom	hastaaḥ

hasta+Sing+Abl	hastaaḥ

hasta+Sing+Acc	hastaam

hasta+Sing+Dat	hastae

hasta+Sing+Ins	hastaā

hasta+Sing+Loc	hastai

hasta+Sing+Nom	hasta

hasta+Sing+Voc	+?

hastin+Plur+Acc	hastinaḥ

hastin+Plur+Ins	hastinbhiḥ

hastin+Plur+Nom	hastinaḥ

hastin+Sing+Acc	hastinam

hastin+Sing+Nom	hastin

hastinakha+Sing+Nom	hastinakha

hatya+Plur+Loc	hatyasu

