abbhakṣa+Sing+Nom	abbhakṣa
agāra+Sing+Abl	agāraaḥ

agāra+Sing+Acc	agāraam

agāra+Sing+Gen	agāraaḥ

agāra+Sing+Loc	agārai

aha+Dual+Acc	ahaau

aha+Dual+Ins	ahabhyām

aha+Dual+Nom	ahaau

aha+Plur+Acc	ahaaḥ

aha+Plur+Gen	ahaām

aha+Plur+Ins	ahabhiḥ

aha+Plur+Loc	ahasu

aha+Plur+Nom	ahaaḥ

aha+Sing+Abl	ahaaḥ

aha+Sing+Acc	ahaam

aha+Sing+Gen	ahaaḥ

aha+Sing+Ins	ahaā

aha+Sing+Loc	ahai

aha+Sing+Nom	aha

ahama+Sing+Dat	ahamae

ahamuttara+Plur+Loc	ahamuttarasu

ahar+Dual+Dat	aharbhyām

ahar+Dual+Nom	aharau

ahar+Plur+Acc	aharaḥ

ahar+Plur+Dat	aharbhyaḥ

ahar+Plur+Gen	aharām

ahar+Plur+Ins	aharbhiḥ

ahar+Plur+Loc	aharṣu

ahar+Plur+Nom	aharaḥ

ahar+Sing+Abl	aharaḥ

ahar+Sing+Acc	aharam

ahar+Sing+Dat	ahare

ahar+Sing+Gen	aharaḥ

ahar+Sing+Ins	aharā

ahar+Sing+Loc	ahari

ahar+Sing+Nom	ahar

ahaṃkāra+Sing+Nom	ahaṃkāra

ahaṃśreyas+Sing+Dat	ahaṃśreyase

ahi+Plur+Gen	ahiām

ahi+Sing+Acc	ahiam

ahi+Sing+Gen	ahiaḥ

ahi+Sing+Ins	ahiā

ahi+Sing+Nom	ahi

ahi+Sing+Voc	+?

ahirbudhnya+Sing+Dat	ahirbudhnyae

ahirbudhnya+Sing+Nom	ahirbudhnya

ahiṃsā+Sing+Dat	ahiṃṣāe

ahiṃsā+Sing+Nom	ahiṃṣā

ahorātra+Dual+Acc	ahorātraau

ahorātra+Dual+Gen	ahorātraoḥ

ahorātra+Dual+Ins	ahorātrabhyām

ahorātra+Dual+Loc	ahorātraoḥ

ahorātra+Dual+Nom	ahorātraau

ahorātra+Plur+Acc	ahorātraaḥ

ahorātra+Plur+Ins	ahorātrabhiḥ

ahorātra+Plur+Nom	ahorātraaḥ

ahorātra+Sing+Acc	ahorātraam

ahorātra+Sing+Nom	ahorātra

ahīna+Plur+Nom	ahīnaaḥ

ahṇa+Sing+Acc	ahṇaam

